"Genes","Rank"
"JARID2",537
"ALPK3",682
"PLXNA3",216
"HAUS7",5
"LDOC1",66
"CDH7",115
"HORMAD2",597
"CLIP2",691
"ZFYVE28",888
"ABCG5",239
"MFGE8",607
"CREB3L1",801
"ZACN",35
"CCDC140",192
"PCGEM1",305
"NOTCH3",669
"CYP1A1",681
"PLCG1",130
"KRTAP4.8",198
"ERGIC1",752
"ZFAND1",890
"IL13RA1",9
"CASK",68
"PCSK2",406
"TCEAL1",591
"MST4",922
"TSPY1",875
"TAGLN",42
"CCR5",325
"CDC42EP3",375
"PHF16",424
"CD5L",528
"ROS1",17
"PAQR4",250
"FRK",584
"C2CD2",826
"RAB7A",464
"GATM",560
"MAP3K12",567
"SPAG9",577
"C1QTNF2",857
"DHCR24",483
"LTF",488
"SPN",556
"MRPS27",614
"CDX4",652
"CDON",791
"VCAN",799
"MYO1A",189
"ABLIM1",517
"GAPDHS",583
"NCEH1",180
"SLCO4C1",465
"C9orf173",600
"HAND2",841
"LAMA3",916
"NOX5",390
"PPP1R14A",762
"HS6ST1",11
"LOC400931",71
"ASNS",95
"EDEM3",74
"SLAMF7",437
"OR52M1",224
"KDR",411
"REXO1L2P",514
"C4orf34",533
"GALR1",650
"BTNL2",938
"LRRC10B",930
"SLC41A3",634
"KIAA0748",687
"ITIH5L",391
"HFE2",588
"LAMP3",944
"MOGS",925
"NLGN3",348
"LOC283314",839
"CACNG8",269
"IL1R2",306
"TMEM171",206
"TRAK2",135
"LUZP1",260
"DNALI1",346
"FBXW7",409
"CDC42SE2",608
"PRKD1",27
"NDUFS7",144
"HSPA12B",313
"CCDC65",413
"RASGRP2",889
"LAYN",247
"SPG21",251
"KIAA1530",290
"LRRC4",294
"NDST4",332
"ATRX",494
"STK24",174
"SPSB1",201
"FOS",238
"PHACTR1",639
"SLC9A9",780
"CD5",829
"MBTD1",139
"LOC91149",323
"SUV39H1",520
"HIST1H3B",632
"GHRL",714
"GHRLOS",259
"OPN1MW",356
"BIK",736
"MCART6",267
"EID3",271
"C2CD4B",441
"CHD7",487
"LAMP1",563
"GATA5",640
"LGALS8",134
"CRHBP",837
"CDT1",438
"MOV10",477
"CSDE1",911
"NIN",362
"FOSB",463
"HIST1H4D",426
"SEMA3E",509
"SEL1L2",796
"SDR16C6",468
"UVRAG",568
"SLC2A9",630
"HLA.DQA1",876
"GAMT",207
"TBC1D24",908
"FAM174B",36
"KRT2",94
"ZFAND2B",205
"XAB2",311
"MLXIP",331
"FAHD1",573
"CYB5R4",797
"SNORD116.23",939
"C21orf33",403
"UBXN11",793
"C16orf91",860
"DOT1L",873
"CCDC88A",210
"PHF17",896
"PPM1L",707
