"Genes","Rank"
"NDUFA4",1100
"ATP5D",1099
"PRR4",1098
"BTD",1097
"HADHB",1096
"C19orf43",1095
"SMAD9",1094
"DDX17",1093
"KIAA2018",1092
"FAXC",1091
"DAPL1",1090
"C18orf25",1089
"GRHL3",1088
"TANC1",1087
"ZNF502",1086
"FAM35BP",1085
"TMPO.AS1",1084
"LUC7L3",1083
"FLVCR1.AS1",1082
"TTR",1081
"CXCL17",1080
"DEPDC7",1079
"LPXN",1078
"ARHGEF6",1077
"BEAN1",1076
"ACBD5",1075
"IL21R",1074
"RPL32",1073
"C11orf30",1072
"MYL12B",1071
"C11orf73",1070
"HBEGF",1069
"RPL36AL",1068
"DUSP4",1067
"JADE3",1066
"TRAPPC2P1",1065
"UBE2D4",1064
"ZNF174",1063
"NAA60",1062
"FBXW8",1061
"KIF3C",1060
"RP9P",1059
"ZNF44",1058
"TF",1057
"TDGF1",1056
"AC009501.4",1055
"ATAD3C",1054
"DSC2",1053
"AHNAK",1052
"HLTF",1051
"NCKAP1",1050
"MOSPD2",1049
"AASDHPPT",1048
"MFN2",1047
"POU3F1",1046
"IL20RB",1045
"GOLGA6L10",1044
"RPL37A",1043
"ZDHHC2",1042
"HNRNPU.AS1",1041
"ING3",1040
"FAM222A",1039
"TBX19",1038
"S100A8",1037
"EML4",1036
"C1orf177",1035
"SMCR5",1034
"ZIM2",1033
"GPATCH8",1032
"FBXO6",1031
"SPIN2B",1030
"DHX36",1029
"HNRNPA0",1028
"CNTROB",1027
"RPSAP52",1026
"INCA1",1025
"PPP1R3E",1024
"VAT1",1023
"RP11.566F5.1",1022
"B3GNT1",1021
"SLC1A3",1020
"PAIP1",1019
"RNF150",1018
"RFX5",1017
"TRHDE",1016
"DYX1C1",1015
"LIPF",1014
"RAB2B",1013
"HCFC1R1",1012
"CPA6",1011
"TNNT1",1010
"FAM174A",1009
"ZDHHC1",1008
"DCAF11",1007
"RIMBP2",1006
"ESRRA",1005
"GALNT18",1004
"C6",1003
