"Genes","Rank"
"OIP5.AS1",87
"PTPN20B",274
"SLC35F5",340
"SLFN11",161
"TPM3P9",310
"ZSCAN5A",381
"ACADL",862
"ACSS2",1448
"ACY3",1472
"ANXA13",67
"COL9A2",291
"FLVCR2",411
"FRRS1",1478
"FSD1L",62
"GLIS3",110
"GOLGA7B",327
"HSPH1",369
"LINC00982",454
"MAGED1",1128
"REC8",1373
"SIGLEC15",1414
"SLC25A20",395
"SLC35D1",214
"SUMF1",290
"TMEM150B",409
"TSPAN13",1357
"WEE1",1379
"AP3M2",48
"ASH2L",109
"ATP13A2",1401
"CLN3",13
"DNAH14",322
"FAM35A",113
"FBXL19",294
"FLOT2",309
"FUBP1",1396
"GXYLT1",131
"HIP1R",196
"MAFG",359
"NAPRT1",153
"PEX13",1358
"PITRM1",29
"PLXNB2",265
"UBE2Z",288
"USP54",1393
"ZC3HC1",151
"ZNF213",332
"ZNF746",1346
"ANKRD13C",220
"CCBL1",638
"CTBP1",714
"FAM21A",895
"KIAA0141",19
"MAN2B2",119
"PIAS2",125
"RANBP17",452
"TNIP2",5
"AMDHD2",102
"DDX51",284
"HAUS6",1363
"NOMO1",1369
"RAB6A",1386
"SNRNP48",9
"ARMCX6",357
"ELP2",465
"LYZ",195
"RASAL2",206
"RNF8",1350
"SLC25A43",211
"AARS",379
"ALOX15",418
"CCDC160",1359
"CDC42SE1",81
"PLCXD1",187
"ZIC5",383
"CCDC11",24
"CCDC40",313
"DCC",744
"HIST1H1E",1418
"RIMS4",1351
"SLC46A1",1372
"SSX2IP",56
"TAS1R3",190
"ZNF486",1343
"ALKBH3",165
"C21orf33",524
"DTNBP1",572
"KCTD6",1382
"LINC01011",197
"SFXN1",216
"STK32C",1362
"FAM20B",234
"POLR3A",267
"SNX25",203
"TJP2",225
"C5orf51",251
"MTRR",80
"PCYOX1L",217
"SOWAHA",688
"SPDYE1.1",835
"CCNG2",1364
"CEACAM7",117
"RSPH3",169
"TMEM19",732
"ANO5",1253
"SEC14L2",282
"EIF4H",286
"MMP7",207
"NPDC1",358
"NUTM2A.AS1",451
"FUCA1",15
"GATM",128
"SLC40A1",354
"ANGEL1",45
"CCL20",130
"HIST2H2AA3",154
"MSANTD3",583
"OAT",1461
"TMSB10",46
"COX8A",160
"SNRPE",245
"TIMM17B",287
"RASA2",1388
"ATP5H",1408
"NDUFA12",166
"ZZEF1",182
"GLRX5",144
"TRAPPC1",186
"AURKAIP1",434
"CEP97",1479
"LATS1",86
"RC3H1",367
"ANKRD36BP1",1409
"PTPMT1",28
"PCGF1",98
"ZC3H6",111
"MRPL27",402
"PCF11",43
"DYNC1H1",44
"SUMO2.1",57
"LAMTOR5",132
"C12orf10",314
"DPP8",404
"USP34",1345
"SERF2",312
"ZNF445",1397
"MRPL23",26
"LSMD1",106
"DENND4A",262
"VPS29",269
"CAP2",308
"MAP3K2",1347
"CCNT2",1410
"GLTP",1344
"DIP2C",1360
"SCEL",1398
"NLRP9",1403
"LSM3",1456
"C19orf53",39
"SPDYA",122
"VSIG10L",156
"AMOTL1",199
"PPP1R12A",307
"NUTM2F.1",445
"ELOF1",1361
"PREX2",273
"DLK2",318
"CCDC14",16
"ARPC3",221
"TMC8",222
"CENPC",299
"CREBBP",127
"GOLGA3",1367
"ALDH1B1",368
"GRIN2A",270
"STAG1",468
"SDHB",482
"NME9",1384
"PTGFRN",129
"TINCR",201
"CPXM1",304
"CXorf36",305
"ANKS1B",1387
"TYROBP",392
"TMEM160",204
"EEF1B2",17
"PSMG4",148
"RPLP1",172
"CYTH4",205
"SIVA1",364
"PRDM10",1339
"PIP5K1P1",140
"NBEAL1",276
"NHLRC2",750
"BRD7P3",112
"RARG",209
"KRT4",671
"C1R",784
"ARHGEF4",1342
"MXRA8",147
"RAET1L",198
"TMEM219",1395
"GTF2A2",23
"TPR",1341
"METAP2",69
"DOK3",320
"RGPD5",325
"PCP4L1",18
"RFC4",1377
"PASK",1380
